idx,label,origin_path
0,1,括约肌测试集\前瞻性测试集\非标准\68.bmp
1,0,括约肌测试集\前瞻性测试集\标准\10.bmp
2,0,括约肌测试集\前瞻性测试集\标准\11.bmp
3,1,括约肌测试集\前瞻性测试集\非标准\220.bmp
4,0,括约肌测试集\前瞻性测试集\标准\162.bmp
5,0,括约肌测试集\前瞻性测试集\标准\5.bmp
6,1,括约肌测试集\前瞻性测试集\非标准\204.bmp
7,1,括约肌测试集\前瞻性测试集\非标准\186.bmp
8,1,括约肌测试集\前瞻性测试集\非标准\230.bmp
9,0,括约肌测试集\前瞻性测试集\标准\205.bmp
10,1,括约肌测试集\前瞻性测试集\非标准\178.bmp
11,1,括约肌测试集\前瞻性测试集\非标准\199.bmp
12,1,括约肌测试集\前瞻性测试集\非标准\3.bmp
13,0,括约肌测试集\前瞻性测试集\标准\217.bmp
14,1,括约肌测试集\前瞻性测试集\非标准\145.bmp
15,0,括约肌测试集\前瞻性测试集\标准\46.bmp
16,0,括约肌测试集\前瞻性测试集\标准\245.bmp
17,1,括约肌测试集\前瞻性测试集\非标准\217.bmp
18,1,括约肌测试集\前瞻性测试集\非标准\191.bmp
19,0,括约肌测试集\前瞻性测试集\标准\199.bmp
20,0,括约肌测试集\前瞻性测试集\标准\151.bmp
21,1,括约肌测试集\前瞻性测试集\非标准\57.bmp
22,0,括约肌测试集\前瞻性测试集\标准\209.bmp
23,1,括约肌测试集\前瞻性测试集\非标准\235.bmp
24,1,括约肌测试集\前瞻性测试集\非标准\187.bmp
25,1,括约肌测试集\前瞻性测试集\非标准\144.bmp
26,0,括约肌测试集\前瞻性测试集\标准\156.bmp
27,1,括约肌测试集\前瞻性测试集\非标准\29.bmp
28,1,括约肌测试集\前瞻性测试集\非标准\200.bmp
29,1,括约肌测试集\前瞻性测试集\非标准\17.bmp
30,0,括约肌测试集\前瞻性测试集\标准\234.bmp
31,1,括约肌测试集\前瞻性测试集\非标准\240.bmp
32,0,括约肌测试集\前瞻性测试集\标准\180.bmp
33,0,括约肌测试集\前瞻性测试集\标准\218.bmp
34,0,括约肌测试集\前瞻性测试集\标准\227.bmp
35,1,括约肌测试集\前瞻性测试集\非标准\201.bmp
36,1,括约肌测试集\前瞻性测试集\非标准\173.bmp
37,1,括约肌测试集\前瞻性测试集\非标准\251.bmp
38,0,括约肌测试集\前瞻性测试集\标准\194.bmp
39,0,括约肌测试集\前瞻性测试集\标准\166.bmp
40,1,括约肌测试集\前瞻性测试集\非标准\36.bmp
41,0,括约肌测试集\前瞻性测试集\标准\142.bmp
42,0,括约肌测试集\前瞻性测试集\标准\191.bmp
43,0,括约肌测试集\前瞻性测试集\标准\2.bmp
44,1,括约肌测试集\前瞻性测试集\非标准\231.bmp
45,0,括约肌测试集\前瞻性测试集\标准\184.bmp
46,1,括约肌测试集\前瞻性测试集\非标准\4.bmp
47,1,括约肌测试集\前瞻性测试集\非标准\194.bmp
48,1,括约肌测试集\前瞻性测试集\非标准\51.bmp
49,0,括约肌测试集\前瞻性测试集\标准\143.bmp
50,1,括约肌测试集\前瞻性测试集\非标准\241.bmp
51,0,括约肌测试集\前瞻性测试集\标准\222.bmp
52,0,括约肌测试集\前瞻性测试集\标准\155.bmp
53,1,括约肌测试集\前瞻性测试集\非标准\236.bmp
54,1,括约肌测试集\前瞻性测试集\非标准\64.bmp
55,0,括约肌测试集\前瞻性测试集\标准\225.bmp
56,0,括约肌测试集\前瞻性测试集\标准\238.bmp
57,1,括约肌测试集\前瞻性测试集\非标准\222.bmp
58,1,括约肌测试集\前瞻性测试集\非标准\63.bmp
59,0,括约肌测试集\前瞻性测试集\标准\230.bmp
60,1,括约肌测试集\前瞻性测试集\非标准\271.bmp
61,0,括约肌测试集\前瞻性测试集\标准\240.bmp
62,1,括约肌测试集\前瞻性测试集\非标准\2.bmp
63,0,括约肌测试集\前瞻性测试集\标准\251.bmp
64,0,括约肌测试集\前瞻性测试集\标准\207.bmp
65,1,括约肌测试集\前瞻性测试集\非标准\196.bmp
66,0,括约肌测试集\前瞻性测试集\标准\185.bmp
67,0,括约肌测试集\前瞻性测试集\标准\229.bmp
68,1,括约肌测试集\前瞻性测试集\非标准\6.bmp
69,1,括约肌测试集\前瞻性测试集\非标准\28.bmp
70,1,括约肌测试集\前瞻性测试集\非标准\238.bmp
71,0,括约肌测试集\前瞻性测试集\标准\36.bmp
72,1,括约肌测试集\前瞻性测试集\非标准\59.bmp
73,1,括约肌测试集\前瞻性测试集\非标准\219.bmp
74,0,括约肌测试集\前瞻性测试集\标准\193.bmp
75,1,括约肌测试集\前瞻性测试集\非标准\175.bmp
76,1,括约肌测试集\前瞻性测试集\非标准\262.bmp
77,0,括约肌测试集\前瞻性测试集\标准\161.bmp
78,0,括约肌测试集\前瞻性测试集\标准\139.bmp
79,0,括约肌测试集\前瞻性测试集\标准\215.bmp
80,1,括约肌测试集\前瞻性测试集\非标准\228.bmp
81,1,括约肌测试集\前瞻性测试集\非标准\34.bmp
82,0,括约肌测试集\前瞻性测试集\标准\213.bmp
83,0,括约肌测试集\前瞻性测试集\标准\6.bmp
84,1,括约肌测试集\前瞻性测试集\非标准\139.bmp
85,1,括约肌测试集\前瞻性测试集\非标准\218.bmp
86,0,括约肌测试集\前瞻性测试集\标准\226.bmp
87,1,括约肌测试集\前瞻性测试集\非标准\280.bmp
88,0,括约肌测试集\前瞻性测试集\标准\236.bmp
89,1,括约肌测试集\前瞻性测试集\非标准\193.bmp
90,0,括约肌测试集\前瞻性测试集\标准\183.bmp
91,1,括约肌测试集\前瞻性测试集\非标准\209.bmp
92,0,括约肌测试集\前瞻性测试集\标准\157.bmp
93,0,括约肌测试集\前瞻性测试集\标准\242.bmp
94,1,括约肌测试集\前瞻性测试集\非标准\70.bmp
95,1,括约肌测试集\前瞻性测试集\非标准\266.bmp
96,1,括约肌测试集\前瞻性测试集\非标准\276.bmp
97,0,括约肌测试集\前瞻性测试集\标准\153.bmp
98,1,括约肌测试集\前瞻性测试集\非标准\61.bmp
99,1,括约肌测试集\前瞻性测试集\非标准\33.bmp
100,0,括约肌测试集\前瞻性测试集\标准\249.bmp
101,1,括约肌测试集\前瞻性测试集\非标准\227.bmp
102,1,括约肌测试集\前瞻性测试集\非标准\18.bmp
103,1,括约肌测试集\前瞻性测试集\非标准\249.bmp
104,1,括约肌测试集\前瞻性测试集\非标准\46.bmp
105,0,括约肌测试集\前瞻性测试集\标准\3.bmp
106,1,括约肌测试集\前瞻性测试集\非标准\7.bmp
107,1,括约肌测试集\前瞻性测试集\非标准\258.bmp
108,1,括约肌测试集\前瞻性测试集\非标准\42.bmp
109,0,括约肌测试集\前瞻性测试集\标准\206.bmp
110,1,括约肌测试集\前瞻性测试集\非标准\53.bmp
111,1,括约肌测试集\前瞻性测试集\非标准\234.bmp
112,0,括约肌测试集\前瞻性测试集\标准\211.bmp
113,0,括约肌测试集\前瞻性测试集\标准\164.bmp
114,0,括约肌测试集\前瞻性测试集\标准\203.bmp
115,1,括约肌测试集\前瞻性测试集\非标准\275.bmp
116,0,括约肌测试集\前瞻性测试集\标准\187.bmp
117,1,括约肌测试集\前瞻性测试集\非标准\284.bmp
118,0,括约肌测试集\前瞻性测试集\标准\48.bmp
119,1,括约肌测试集\前瞻性测试集\非标准\170.bmp
120,1,括约肌测试集\前瞻性测试集\非标准\69.bmp
121,1,括约肌测试集\前瞻性测试集\非标准\216.bmp
122,1,括约肌测试集\前瞻性测试集\非标准\264.bmp
123,1,括约肌测试集\前瞻性测试集\非标准\233.bmp
124,0,括约肌测试集\前瞻性测试集\标准\17.bmp
125,1,括约肌测试集\前瞻性测试集\非标准\142.bmp
126,1,括约肌测试集\前瞻性测试集\非标准\188.bmp
127,0,括约肌测试集\前瞻性测试集\标准\241.bmp
128,0,括约肌测试集\前瞻性测试集\标准\45.bmp
129,0,括约肌测试集\前瞻性测试集\标准\167.bmp
130,0,括约肌测试集\前瞻性测试集\标准\49.bmp
131,0,括约肌测试集\前瞻性测试集\标准\223.bmp
132,1,括约肌测试集\前瞻性测试集\非标准\13.bmp
133,0,括约肌测试集\前瞻性测试集\标准\204.bmp
134,0,括约肌测试集\前瞻性测试集\标准\35.bmp
135,1,括约肌测试集\前瞻性测试集\非标准\268.bmp
136,1,括约肌测试集\前瞻性测试集\非标准\40.bmp
137,0,括约肌测试集\前瞻性测试集\标准\12.bmp
138,0,括约肌测试集\前瞻性测试集\标准\171.bmp
139,1,括约肌测试集\前瞻性测试集\非标准\282.bmp
140,1,括约肌测试集\前瞻性测试集\非标准\190.bmp
141,0,括约肌测试集\前瞻性测试集\标准\190.bmp
142,0,括约肌测试集\前瞻性测试集\标准\42.bmp
143,0,括约肌测试集\前瞻性测试集\标准\212.bmp
144,1,括约肌测试集\前瞻性测试集\非标准\250.bmp
145,0,括约肌测试集\前瞻性测试集\标准\168.bmp
146,0,括约肌测试集\前瞻性测试集\标准\144.bmp
147,0,括约肌测试集\前瞻性测试集\标准\179.bmp
148,1,括约肌测试集\前瞻性测试集\非标准\210.bmp
149,0,括约肌测试集\前瞻性测试集\标准\8.bmp
150,0,括约肌测试集\前瞻性测试集\标准\244.bmp
151,1,括约肌测试集\前瞻性测试集\非标准\229.bmp
152,1,括约肌测试集\前瞻性测试集\非标准\232.bmp
153,1,括约肌测试集\前瞻性测试集\非标准\47.bmp
154,1,括约肌测试集\前瞻性测试集\非标准\19.bmp
155,1,括约肌测试集\前瞻性测试集\非标准\27.bmp
156,1,括约肌测试集\前瞻性测试集\非标准\138.bmp
157,0,括约肌测试集\前瞻性测试集\标准\140.bmp
158,0,括约肌测试集\前瞻性测试集\标准\243.bmp
159,1,括约肌测试集\前瞻性测试集\非标准\56.bmp
160,1,括约肌测试集\前瞻性测试集\非标准\179.bmp
161,1,括约肌测试集\前瞻性测试集\非标准\55.bmp
162,1,括约肌测试集\前瞻性测试集\非标准\62.bmp
163,0,括约肌测试集\前瞻性测试集\标准\214.bmp
164,0,括约肌测试集\前瞻性测试集\标准\202.bmp
165,1,括约肌测试集\前瞻性测试集\非标准\16.bmp
166,1,括约肌测试集\前瞻性测试集\非标准\197.bmp
167,1,括约肌测试集\前瞻性测试集\非标准\211.bmp
168,0,括约肌测试集\前瞻性测试集\标准\147.bmp
169,1,括约肌测试集\前瞻性测试集\非标准\253.bmp
170,1,括约肌测试集\前瞻性测试集\非标准\244.bmp
171,1,括约肌测试集\前瞻性测试集\非标准\52.bmp
172,0,括约肌测试集\前瞻性测试集\标准\232.bmp
173,0,括约肌测试集\前瞻性测试集\标准\47.bmp
174,1,括约肌测试集\前瞻性测试集\非标准\184.bmp
175,1,括约肌测试集\前瞻性测试集\非标准\54.bmp
176,1,括约肌测试集\前瞻性测试集\非标准\208.bmp
177,0,括约肌测试集\前瞻性测试集\标准\18.bmp
178,1,括约肌测试集\前瞻性测试集\非标准\283.bmp
179,1,括约肌测试集\前瞻性测试集\非标准\195.bmp
180,1,括约肌测试集\前瞻性测试集\非标准\35.bmp
181,0,括约肌测试集\前瞻性测试集\标准\176.bmp
182,0,括约肌测试集\前瞻性测试集\标准\136.bmp
183,1,括约肌测试集\前瞻性测试集\非标准\192.bmp
184,0,括约肌测试集\前瞻性测试集\标准\14.bmp
185,1,括约肌测试集\前瞻性测试集\非标准\242.bmp
186,1,括约肌测试集\前瞻性测试集\非标准\260.bmp
187,0,括约肌测试集\前瞻性测试集\标准\152.bmp
188,0,括约肌测试集\前瞻性测试集\标准\224.bmp
189,0,括约肌测试集\前瞻性测试集\标准\159.bmp
190,1,括约肌测试集\前瞻性测试集\非标准\267.bmp
191,1,括约肌测试集\前瞻性测试集\非标准\66.bmp
192,1,括约肌测试集\前瞻性测试集\非标准\45.bmp
193,1,括约肌测试集\前瞻性测试集\非标准\205.bmp
194,1,括约肌测试集\前瞻性测试集\非标准\38.bmp
195,0,括约肌测试集\前瞻性测试集\标准\137.bmp
196,0,括约肌测试集\前瞻性测试集\标准\148.bmp
197,1,括约肌测试集\前瞻性测试集\非标准\177.bmp
198,1,括约肌测试集\前瞻性测试集\非标准\37.bmp
199,0,括约肌测试集\前瞻性测试集\标准\44.bmp
200,1,括约肌测试集\前瞻性测试集\非标准\263.bmp
201,0,括约肌测试集\前瞻性测试集\标准\9.bmp
202,0,括约肌测试集\前瞻性测试集\标准\141.bmp
203,1,括约肌测试集\前瞻性测试集\非标准\8.bmp
204,1,括约肌测试集\前瞻性测试集\非标准\180.bmp
205,1,括约肌测试集\前瞻性测试集\非标准\50.bmp
206,1,括约肌测试集\前瞻性测试集\非标准\25.bmp
207,0,括约肌测试集\前瞻性测试集\标准\154.bmp
208,0,括约肌测试集\前瞻性测试集\标准\145.bmp
209,1,括约肌测试集\前瞻性测试集\非标准\207.bmp
210,0,括约肌测试集\前瞻性测试集\标准\233.bmp
211,1,括约肌测试集\前瞻性测试集\非标准\221.bmp
212,0,括约肌测试集\前瞻性测试集\标准\170.bmp
213,1,括约肌测试集\前瞻性测试集\非标准\23.bmp
214,1,括约肌测试集\前瞻性测试集\非标准\259.bmp
215,0,括约肌测试集\前瞻性测试集\标准\182.bmp
216,1,括约肌测试集\前瞻性测试集\非标准\248.bmp
217,1,括约肌测试集\前瞻性测试集\非标准\225.bmp
218,0,括约肌测试集\前瞻性测试集\标准\195.bmp
219,1,括约肌测试集\前瞻性测试集\非标准\189.bmp
220,0,括约肌测试集\前瞻性测试集\标准\13.bmp
221,0,括约肌测试集\前瞻性测试集\标准\188.bmp
222,1,括约肌测试集\前瞻性测试集\非标准\58.bmp
223,1,括约肌测试集\前瞻性测试集\非标准\214.bmp
224,0,括约肌测试集\前瞻性测试集\标准\210.bmp
225,1,括约肌测试集\前瞻性测试集\非标准\44.bmp
226,1,括约肌测试集\前瞻性测试集\非标准\256.bmp
227,1,括约肌测试集\前瞻性测试集\非标准\30.bmp
228,0,括约肌测试集\前瞻性测试集\标准\158.bmp
229,1,括约肌测试集\前瞻性测试集\非标准\141.bmp
230,0,括约肌测试集\前瞻性测试集\标准\208.bmp
231,0,括约肌测试集\前瞻性测试集\标准\150.bmp
232,0,括约肌测试集\前瞻性测试集\标准\216.bmp
233,1,括约肌测试集\前瞻性测试集\非标准\202.bmp
234,1,括约肌测试集\前瞻性测试集\非标准\181.bmp
235,1,括约肌测试集\前瞻性测试集\非标准\15.bmp
236,1,括约肌测试集\前瞻性测试集\非标准\5.bmp
237,0,括约肌测试集\前瞻性测试集\标准\250.bmp
238,0,括约肌测试集\前瞻性测试集\标准\239.bmp
239,1,括约肌测试集\前瞻性测试集\非标准\246.bmp
240,1,括约肌测试集\前瞻性测试集\非标准\261.bmp
241,0,括约肌测试集\前瞻性测试集\标准\231.bmp
242,1,括约肌测试集\前瞻性测试集\非标准\21.bmp
243,1,括约肌测试集\前瞻性测试集\非标准\12.bmp
244,1,括约肌测试集\前瞻性测试集\非标准\176.bmp
245,1,括约肌测试集\前瞻性测试集\非标准\279.bmp
246,1,括约肌测试集\前瞻性测试集\非标准\273.bmp
247,1,括约肌测试集\前瞻性测试集\非标准\215.bmp
248,0,括约肌测试集\前瞻性测试集\标准\186.bmp
249,1,括约肌测试集\前瞻性测试集\非标准\67.bmp
250,1,括约肌测试集\前瞻性测试集\非标准\257.bmp
251,0,括约肌测试集\前瞻性测试集\标准\196.bmp
252,0,括约肌测试集\前瞻性测试集\标准\41.bmp
253,1,括约肌测试集\前瞻性测试集\非标准\182.bmp
254,1,括约肌测试集\前瞻性测试集\非标准\212.bmp
255,1,括约肌测试集\前瞻性测试集\非标准\20.bmp
256,1,括约肌测试集\前瞻性测试集\非标准\277.bmp
257,0,括约肌测试集\前瞻性测试集\标准\149.bmp
258,0,括约肌测试集\前瞻性测试集\标准\201.bmp
259,0,括约肌测试集\前瞻性测试集\标准\192.bmp
260,0,括约肌测试集\前瞻性测试集\标准\172.bmp
261,0,括约肌测试集\前瞻性测试集\标准\163.bmp
262,1,括约肌测试集\前瞻性测试集\非标准\239.bmp
263,1,括约肌测试集\前瞻性测试集\非标准\39.bmp
264,0,括约肌测试集\前瞻性测试集\标准\146.bmp
265,0,括约肌测试集\前瞻性测试集\标准\22.bmp
266,0,括约肌测试集\前瞻性测试集\标准\220.bmp
267,0,括约肌测试集\前瞻性测试集\标准\219.bmp
268,1,括约肌测试集\前瞻性测试集\非标准\10.bmp
269,0,括约肌测试集\前瞻性测试集\标准\247.bmp
270,1,括约肌测试集\前瞻性测试集\非标准\147.bmp
271,1,括约肌测试集\前瞻性测试集\非标准\9.bmp
272,1,括约肌测试集\前瞻性测试集\非标准\48.bmp
273,1,括约肌测试集\前瞻性测试集\非标准\224.bmp
274,1,括约肌测试集\前瞻性测试集\非标准\1.bmp
275,1,括约肌测试集\前瞻性测试集\非标准\43.bmp
276,1,括约肌测试集\前瞻性测试集\非标准\269.bmp
277,1,括约肌测试集\前瞻性测试集\非标准\31.bmp
278,0,括约肌测试集\前瞻性测试集\标准\189.bmp
279,1,括约肌测试集\前瞻性测试集\非标准\11.bmp
280,1,括约肌测试集\前瞻性测试集\非标准\14.bmp
281,0,括约肌测试集\前瞻性测试集\标准\181.bmp
282,1,括约肌测试集\前瞻性测试集\非标准\245.bmp
283,1,括约肌测试集\前瞻性测试集\非标准\254.bmp
284,1,括约肌测试集\前瞻性测试集\非标准\149.bmp
285,0,括约肌测试集\前瞻性测试集\标准\169.bmp
286,0,括约肌测试集\前瞻性测试集\标准\173.bmp
287,1,括约肌测试集\前瞻性测试集\非标准\226.bmp
288,1,括约肌测试集\前瞻性测试集\非标准\270.bmp
289,0,括约肌测试集\前瞻性测试集\标准\198.bmp
290,0,括约肌测试集\前瞻性测试集\标准\246.bmp
291,0,括约肌测试集\前瞻性测试集\标准\237.bmp
292,1,括约肌测试集\前瞻性测试集\非标准\281.bmp
293,0,括约肌测试集\前瞻性测试集\标准\221.bmp
294,0,括约肌测试集\前瞻性测试集\标准\160.bmp
295,1,括约肌测试集\前瞻性测试集\非标准\169.bmp
296,0,括约肌测试集\前瞻性测试集\标准\248.bmp
297,1,括约肌测试集\前瞻性测试集\非标准\172.bmp
298,1,括约肌测试集\前瞻性测试集\非标准\247.bmp
299,0,括约肌测试集\前瞻性测试集\标准\1.bmp
300,1,括约肌测试集\前瞻性测试集\非标准\203.bmp
301,0,括约肌测试集\前瞻性测试集\标准\174.bmp
302,0,括约肌测试集\前瞻性测试集\标准\138.bmp
303,1,括约肌测试集\前瞻性测试集\非标准\272.bmp
304,0,括约肌测试集\前瞻性测试集\标准\16.bmp
305,0,括约肌测试集\前瞻性测试集\标准\4.bmp
306,1,括约肌测试集\前瞻性测试集\非标准\26.bmp
307,1,括约肌测试集\前瞻性测试集\非标准\223.bmp
308,1,括约肌测试集\前瞻性测试集\非标准\65.bmp
309,1,括约肌测试集\前瞻性测试集\非标准\274.bmp
310,0,括约肌测试集\前瞻性测试集\标准\228.bmp
311,1,括约肌测试集\前瞻性测试集\非标准\146.bmp
312,1,括约肌测试集\前瞻性测试集\非标准\22.bmp
313,1,括约肌测试集\前瞻性测试集\非标准\183.bmp
314,0,括约肌测试集\前瞻性测试集\标准\178.bmp
315,1,括约肌测试集\前瞻性测试集\非标准\278.bmp
316,1,括约肌测试集\前瞻性测试集\非标准\237.bmp
317,1,括约肌测试集\前瞻性测试集\非标准\171.bmp
318,0,括约肌测试集\前瞻性测试集\标准\165.bmp
319,0,括约肌测试集\前瞻性测试集\标准\177.bmp
320,1,括约肌测试集\前瞻性测试集\非标准\143.bmp
321,0,括约肌测试集\前瞻性测试集\标准\200.bmp
322,1,括约肌测试集\前瞻性测试集\非标准\41.bmp
323,1,括约肌测试集\前瞻性测试集\非标准\265.bmp
324,0,括约肌测试集\前瞻性测试集\标准\252.bmp
325,1,括约肌测试集\前瞻性测试集\非标准\49.bmp
326,0,括约肌测试集\前瞻性测试集\标准\175.bmp
327,1,括约肌测试集\前瞻性测试集\非标准\60.bmp
328,0,括约肌测试集\前瞻性测试集\标准\7.bmp
329,0,括约肌测试集\前瞻性测试集\标准\197.bmp
330,1,括约肌测试集\前瞻性测试集\非标准\252.bmp
331,0,括约肌测试集\前瞻性测试集\标准\235.bmp
332,1,括约肌测试集\前瞻性测试集\非标准\32.bmp
333,1,括约肌测试集\前瞻性测试集\非标准\185.bmp
334,1,括约肌测试集\前瞻性测试集\非标准\24.bmp
335,1,括约肌测试集\前瞻性测试集\非标准\140.bmp
336,1,括约肌测试集\前瞻性测试集\非标准\206.bmp
337,1,括约肌测试集\前瞻性测试集\非标准\243.bmp
338,1,括约肌测试集\前瞻性测试集\非标准\255.bmp
339,0,括约肌测试集\前瞻性测试集\标准\37.bmp
340,0,括约肌测试集\前瞻性测试集\标准\15.bmp
341,1,括约肌测试集\前瞻性测试集\非标准\213.bmp
342,1,括约肌测试集\前瞻性测试集\非标准\198.bmp
